Region_Nam,2007,2010,2011,2012,2013,2014,2015,2016
Dodoma,3.01,3.17,3.09,3.1,3.03,3.04,2.9,2.92
Arusha,4.52,4.87,4.73,4.77,4.74,4.75,4.7,4.71
Kilimanjaro,4.71,4.45,4.6,4.54,4.54,4.54,4.54,4.45
Tanga,5.58,4.65,4.75,4.69,4.67,4.66,4.66,4.68
Morogoro,5.41,4.87,4.93,4.89,4.84,4.85,4.9,4.81
Pwani,1.89,1.88,1.86,1.85,1.81,1.81,1.81,1.8
Dar es salaam,15.59,16.81,16.69,16.93,17.28,17.2,17.2,17.02
Lindi,1.94,1.93,1.89,1.89,1.85,1.86,1.86,1.96
Mtwara,2.42,2.87,2.58,2.65,2.52,2.53,2.6,2.7
Ruvuma,4.01,3.69,3.87,3.81,3.8,3.81,3.9,3.9
Iringa,5.36,5.27,5.29,5.25,5.18,5.19,5.3,4.92
Mbeya,7.16,7.36,7.3,7.33,7.43,7.44,5.62,5.63
Singida,1.84,2.05,1.89,1.92,1.84,1.85,1.8,1.85
Tabora,4.11,3.85,4,3.95,3.93,3.93,3.8,3.8
Rukwa,3.46,3.38,3.45,3.42,3.4,3.41,3.5,3.6
Kigoma,3.04,2.81,2.93,2.9,2.89,2.88,2.9,2.9
Shinyanga,6,6.07,6.03,6.01,5.92,5.93,5.93,5.95
Kagera,4.03,3.9,3.96,3.94,3.94,3.94,3.94,3.95
Mwanza,8.65,9.16,9.04,9.15,9.38,9.38,9.3,9.7
Mara,3.85,3.63,3.74,3.69,3.68,3.67,3.67,3.67
Manyara,3.43,3.32,3.38,3.34,3.32,3.33,3.33,3.34
Songwe,,,,,,,1.82,1.82
Simiyu,,,,,,,,
Geita,,,,,,,,
Katavi,,,,,,,,
Njombe,,,,,,,,
Kusini Pemba,,,,,,,,
Kaskazini Unguja,,,,,,,,
Kusini Unguja,,,,,,,,
Mjini Magharibi,,,,,,,,
Kaskazini Pemba,,,,,,,,
